Id,MovieName,MoviePoster,MovieRating,PGRating,MovieDuration,ReleaseDate,Director,Actor,Writer,MovieGenre,Story
11,Il postino (1994) ,"https://m.media-amazon.com/images/M/MV5BZmVhNWIzOTMtYmVlZC00ZDVmLWIyODEtODEzOTAxYjAwMzVlXkEyXkFqcGdeQXVyMzIwNDY4NDI@._V1_UY268_CR2,0,182,268_AL_.jpg",7.7,PG,1h 48min," 22 September 1994 (Italy)
    ","Michael Radford,Massimo Troisi","Massimo Troisi,Philippe Noiret,Maria Grazia Cucinotta","Antonio Skrmeta,Furio Scarpelli"," Biography, Comedy, Drama, Romance","    Pablo Neruda, the famous Chilean poet, is exiled to a small island for political reasons. On the island, the unemployed son of a poor fisherman is hired as an extra postman due to the huge increase in mail that this causes. Il Postino is to hand-deliver the celebrity's mail to him. Though poorly educated, the postman learns to love poetry and eventually befriends Neruda. Struggling to grow and express himself more fully, he suddenly falls in love and needs Neruda's help and guidance more than ever."
12,Mr. Holland's Opus (1995) ,"https://m.media-amazon.com/images/M/MV5BZDZhNDRlZjAtYzdhNy00ZjU1LWFlMDYtNjA5NjliM2Y5ZmVjL2ltYWdlXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_UX182_CR0,0,182,268_AL_.jpg",7.3,PG,2h 23min," Querido maestro
      ",Stephen Herek,"Richard Dreyfuss,Glenne Headly,Jay Thomas",," Drama, Music","    Glenn Holland is a musician and composer who takes a teaching job to pay the rent while, in his 'spare time', he can strive to achieve his true goal - compose one memorable piece of music to leave his mark on the world. As Holland discovers 'Life is what happens to you while you're busy making other plans' and as the years unfold the joy of sharing his contagious passion for music with his students becomes his new definition of success."
13,Gazon maudit (1995) ,"https://m.media-amazon.com/images/M/MV5BMWEwNWY1ZjQtYWMxYS00ZDY2LTg2Y2YtZDc5MTM4MzE0NTM4XkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_UY268_CR1,0,182,268_AL_.jpg",6.4,R,1h 44min," Bushwhacked
      ",Josiane Balasko,"Victoria Abril,Josiane Balasko,Alain Chabat","Patrick Aubre,Josiane Balasko", Comedy,"    Undoubtedly, the smug real estate agent, family man, and father of one, Laurent, is a shameless philanderer. Under the nose of his beautiful but unhappy wife, Loli, the incurable womaniser never misses an opportunity to cheat on her, until one day, the cigarillo-smoking and very lesbian plumber, Marijo, sets foot in their house. Now, the stage looks set for the perfect revenge, and nothing can stand in the way of a woman scorned. Can Loli and Laurent survive the complications of having a stranger in their bedroom?"
14,From Dusk Till Dawn (1996) ,"https://m.media-amazon.com/images/M/MV5BZjk3YmZhMDAtOWUzMS00YjE5LTkxNzAtY2I1NGZjMDA2ZTk0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",7.2,R,1h 48min," 19 January 1996 (USA)
    ",Robert Rodriguez,"Harvey Keitel,George Clooney,Juliette Lewis",Robert Kurtzman," Action, Crime, Horror","    After a bank heist in Abilene with several casualties, the bank robber Seth Gecko and his psychopath and rapist brother Richard Gecko continue their crime spree in a convenience store in the middle of the desert while heading to Mexico with a hostage. They decide to stop for a while in a low-budget motel. Meanwhile the former minister Jacob Fuller is traveling on vacation with his son Scott and his daughter Kate in a RV. Jacob lost his faith after the death of his beloved wife in a car accident and quit his position of pastor of his community and stops for the night in the same motel Seth and Richard are lodged. When Seth sees the recreational vehicle, he abducts Jacob and his family to help his brother and him to cross the Mexico border, promising to release them on the next morning. They head to the truck drivers and bikers bar Titty Twister where Seth will meet with his partner Carlos in the dawn. When they are watching the dancer Santanico Pandemonium, Seth and Richard fight with ..."
15,Antonia (1995) ,"https://m.media-amazon.com/images/M/MV5BMTgwNjkwOTQ5NV5BMl5BanBnXkFtZTcwNjc3ODAyMQ@@._V1_UY268_CR1,0,182,268_AL_.jpg",7.4,R,1h 42min," Memorias de Antonia
      ",Marleen Gorris,"Willeke van Ammelrooy,Jan Decleir,Veerle van Overloop",," Comedy, Drama","    In an anonymous Dutch village, a sturdy, strong-willed matriarch looks back upon her life, the generations of family and friends gathered around her table, and ponders the cyclical nature of time."
16,Angels and Insects (1995) ,"https://m.media-amazon.com/images/M/MV5BZTc1MzY1ODAtMDhlMS00NjgyLTlkNTEtZTUwYTM4MzFkNWNmXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_UY268_CR1,0,182,268_AL_.jpg",6.8,R,1h 56min," Des anges et des insectes
      ",Philip Haas,"Mark Rylance,Kristin Scott Thomas,Patsy Kensit","A.S. Byatt,Belinda Haas"," Drama, Romance","    The movie is a study of a family of country gentry in Victorian England. William Adamson, a young scientist, is introduced into the Alabaster family by Reverend Mr Alabaster who is also fascinated by insects. William marries the older daughter of the family and studies the amounts of insects in the garden of the villa. His - for the gentry - strange behaviors reveal at the same time their own failures and passions."
17,Braveheart (1995) ,"https://m.media-amazon.com/images/M/MV5BMzkzMmU0YTYtOWM3My00YzBmLWI0YzctOGYyNTkwMWE5MTJkXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX182_CR0,0,182,268_AL_.jpg",8.3,R,2h 58min," 24 May 1995 (USA)
    ",Mel Gibson,"Mel Gibson,Sophie Marceau,Patrick McGoohan",," Biography, Drama, History, War","    William Wallace is a Scottish rebel who leads an uprising against the cruel English ruler Edward the Longshanks, who wishes to inherit the crown of Scotland for himself. When he was a young boy, William Wallace's father and brother, along with many others, lost their lives trying to free Scotland. Once he loses another of his loved ones, William Wallace begins his long quest to make Scotland free once and for all, along with the assistance of Robert the Bruce."
18,Hung fan kui (1995) ,"https://m.media-amazon.com/images/M/MV5BZTUxMzY1N2YtZjM5NC00MmUzLThkNzEtYjNiYzg0MzI4MDc5L2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY268_CR6,0,182,268_AL_.jpg",6.7,R,1h 44min," Red Bronx
      ",Stanley Tong,"Jackie Chan,Anita Mui,Françoise Yip",Edward Tang," Action, Comedy, Crime, Thriller","    Keong comes from Hong Kong to visit New York for his uncle's wedding. His uncle runs a market in the Bronx and Keong offers to help out while Uncle is on his honeymoon. During his stay in the Bronx, Keong befriends a neighbor kid and beats up some neighborhood thugs who cause problems at the market. Meanwhile, one of those petty thugs in the local gang stumbles into a criminal situation way over his head. Blinded by greed, his involvement draws his gang, the kid, Keong, and the whole neighborhood into a deadly crossfire. When the lazy cops fail to successfully resolve matters, Keong takes things into his own hands. Needless to say, much spectacular kung-fu and outrageous action sequences follow...."
19,The Birdcage (1996) ,"https://m.media-amazon.com/images/M/MV5BMTM2NjExODYyOF5BMl5BanBnXkFtZTcwNTc0NjgyNA@@._V1_UX182_CR0,0,182,268_AL_.jpg",7.1,R,1h 57min," 8 March 1996 (USA)
    ",Mike Nichols,"Robin Williams,Nathan Lane,Gene Hackman","Jean Poiret,Francis Veber", Comedy,"    Armand Goldman owns a popular drag nightclub in South Miami Beach. His long-time lover, Albert, stars there as Starina. ""Their"" son Val (actually Armand's by his one heterosexual fling, twenty years before) comes home to announce his engagement to Barbara Keeley, daughter of Kevin Keeley, US Senator, and co-founder of the Committee for Moral Order. The Senator and family descend upon South Beach to meet Val, his father and ""mother."" What ensues is comic chaos."
20,Bad Boys (1995) ,"https://m.media-amazon.com/images/M/MV5BMGE1ZTQ0ZTEtZTEwZS00NWE0LTlmMDUtMTE1ZWJiZTYzZTQ2XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",6.9,R,1h 59min," 7 April 1995 (USA)
    ",Michael Bay,"Will Smith,Martin Lawrence,Lisa Boyle","George Gallo,Michael Barrie"," Action, Comedy, Crime, Thriller","    Marcus Burnett is a hen-pecked family man. Mike Lowry is a foot-loose and fancy free ladies' man. Both are Miami policemen, and both have 72 hours to reclaim a consignment of drugs stolen from under their station's nose. To complicate matters, in order to get the assistance of the sole witness to a murder, they have to pretend to be each other."
21,Apollo 13 (1995) ,"https://m.media-amazon.com/images/M/MV5BNjEzYjJmNzgtNDkwNy00MTQ4LTlmMWMtNzA4YjE2NjI0ZDg4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL_.jpg",7.6,PG,2h 20min," Apolo 13
      ",Ron Howard,"Tom Hanks,Bill Paxton,Kevin Bacon","Jim Lovell,Jeffrey Kluger"," Adventure, Drama, History","    Based on the true story of the ill-fated 13th Apollo mission bound for the moon. Astronauts Lovell, Haise and Swigert were scheduled to fly Apollo 14, but are moved up to 13. It's 1970, and The US has already achieved their lunar landing goal, so there's little interest in this ""routine"" flight.. until that is, things go very wrong, and prospects of a safe return fade."
22,Batman Forever (1995) ,"https://m.media-amazon.com/images/M/MV5BNDdjYmFiYWEtYzBhZS00YTZkLWFlODgtY2I5MDE0NzZmMDljXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX182_CR0,0,182,268_AL_.jpg",5.4,PG-13,2h 1min," 16 June 1995 (USA)
    ",Joel Schumacher,"Val Kilmer,Tommy Lee Jones,Jim Carrey","Bob Kane,Lee Batchler"," Action, Adventure, Fantasy","    The Dark Knight of Gotham City confronts a dastardly duo: Two-Face and the Riddler. Formerly District Attorney Harvey Dent, Two-Face incorrectly believes Batman caused the courtroom accident which left him disfigured on one side; he has unleashed a reign of terror on the good people of Gotham. Edward Nygma, computer-genius and former employee of millionaire Bruce Wayne, is out to get the philanthropist; as The Riddler he perfects a device for draining information from all the brains in Gotham, including Bruce Wayne's knowledge of his other identity. Batman/Wayne is/are the love focus of Dr. Chase Meridan. Former circus acrobat Dick Grayson, his family killed by Two-Face, becomes Wayne's ward and Batman's new partner Robin the Boy Wonder."
23,Belle de jour (1967) ,"https://m.media-amazon.com/images/M/MV5BZjNkNGJjYWEtM2IyNi00ZjM5LWFlYjYtYjQ4NTU5MGFlMTI2XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_UY268_CR9,0,182,268_AL_.jpg",7.7,R,1h 40min," Belle de Jour
      ",Luis Buñuel,"Catherine Deneuve,Jean Sorel,Michel Piccoli","Joseph Kessel,Luis Buuel", Drama,"    Severine is a beautiful young woman married to a doctor. She loves her husband dearly, but cannot bring herself to be physically intimate with him. She indulges instead in vivid, kinky, erotic fantasies to entertain her sexual desires. Eventually she becomes a prostitute, working in a brothel in the afternoons while remaining chaste in her marriage."
24,Crimson Tide (1995) ,"https://m.media-amazon.com/images/M/MV5BMmFkY2IxNTAtMWRiNS00MWU2LWI1NDYtY2YxYTQyYTk5OTBhXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UX182_CR0,0,182,268_AL_.jpg",7.3,R,1h 56min," Marea roja
      ",Tony Scott,"Gene Hackman,Denzel Washington,Matt Craven","Michael Schiffer,Richard P. Henrick"," Action, Drama, Thriller, War","    When some Russian rebels takes control of some ICBM's, the Americans mobilize. Among the vessels sent is the nuclear sub, the Alabama. But before they leave they need a new X.O. and among the choices is Commander Hunter, who hasn't seen much action. But the ship's Captain, Ramsey OK's him. While on the way, there was an incident and Hunter disagreed with how Ramsey handled it, it's evident that Ramsey doesn't think much of Hunter because Hunter was college educated while Ramsey worked his way up. They're given orders to attack but when they were in the process of receiving another order, the ship's communications were damaged, so the entire message was not received. Ramsey decides to continue with their previous order while Hunter wants to reestablish contact first. That's when the two men butt heads that ends with Hunter relieving Ramsey. Later when some men die, some of the officers feel that Hunter is not up to the task so they team up to retake control. But Hunter has taken ..."
25,Desperado (1995) ,"https://m.media-amazon.com/images/M/MV5BYjA0NDMyYTgtMDgxOC00NGE0LWJkOTQtNDRjMjEzZmU0ZTQ3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",7.2,R,1h 44min," La balada del pistolero
      ",Robert Rodriguez,"Antonio Banderas,Salma Hayek,Joaquim de Almeida",," Action, Thriller","    Director Robert Rodriguez picks up where his successful independent debut El Mariachi left off with this slam-bang South of the Border action saga. Bucho (Joaquim DeAlmeida) is a wealthy but casually bloodthirsty drug kingpin who rules a seedy Mexican border town. Bucho and his men make the mistake of angering El Mariachi (Antonio Banderas), a former musician who now carries an arsenal in his guitar case. Bucho was responsible for the death of El Mariachi's girlfriend and put a bullet through his fretting hand, making him unable to play the guitar. Bent on revenge, the musician-turned-killing machine arrives in town to put Bucho out of business, though he finds few allies except for Carolina (Salma Hayek), who runs a bookstore that doesn't seem to attract many readers. Desperado features supporting performances from Cheech Marin as a cynical bartender, Steve Buscemi as the cantina patron who sets up the story, and Quentin Tarantino as a man with a really terrible joke to tell."
26,The Doom Generation (1995) ,"https://m.media-amazon.com/images/M/MV5BYjEwZDUyODktOGVmOC00ZjIyLTlmM2YtZDZjY2Y2ZWE4ZjMyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",6.1,R,1h 23min," Doom Generation
      ",Gregg Araki,"James Duval,Rose McGowan,Johnathon Schaech",," Comedy, Crime, Drama","    Jordan White and Amy Blue, two troubled teens, pick up an adolescent drifter, Xavier Red. Together, the threesome embark on a sex and violence-filled journey through an America of psychos and quickiemarts."
27,Free Willy 2: The Adventure Home (1995) ,"https://m.media-amazon.com/images/M/MV5BZmZlNDBmMzctNmJiOC00YWZkLTk4MzYtOTU4NzZkMmUxMDRjXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_UX182_CR0,0,182,268_AL_.jpg",5,PG,1h 35min," Free Willy 2
      ",Dwight H. Little,"Jason James Richter,Michael Madsen,Francis Capra","Keith Walker,Karen Janszen"," Adventure, Drama, Family","    Willy the smart and rebellious whale and Jessie the orphaned boy team up to escape Willy's captivity and horrible owner to get back to his pod. Can they succeed with the help of Annie and Glenn Jessie's foster parents, Randolph the spiritual friend of Willy and Jessie, and Rae Willy's trainer?"
28,Mad Love (1995) ,"https://m.media-amazon.com/images/M/MV5BOThlOGJjYWEtMGFmOS00ZjBlLWIwZmUtNzdlNjIxNTU2NDcwL2ltYWdlXkEyXkFqcGdeQXVyNjg4NzYzMzA@._V1_UX182_CR0,0,182,268_AL_.jpg",5.4,PG-13,1h 33min," Amor Louco
      ",Antonia Bird,"Chris O'Donnell,Drew Barrymore,Matthew Lillard",," Drama, Romance","    The high-school student Matt Leland lives with his twin brother and sister and his father in a house by the lake. When the teenager Casey Roberts moves to the house on the other side of the lake, Matt snoops into her room with his telescope. They meet each other and soon they fall in love with each other. One day, Matt is taking a test at school and Casey activates the fire alarm to stop the test. She is suspended and her father decides to check her into a psychiatric institution. However Matt breaks her out of the hospital. They travel in Matt's car and have lots of fun until the day Matt discovers that Casey has bipolar disorder with periods of depression and periods of elevated mood. When she tries to commit suicide, Matt realizes that she needs specialized help."
29,Nadja (1994) ,"https://m.media-amazon.com/images/M/MV5BMTk2NTE5MDI4MV5BMl5BanBnXkFtZTcwODM4MDMzMQ@@._V1_UY268_CR43,0,182,268_AL_.jpg",6.1,R,1h 33min," Nadja, o thilykos vrykolakas
      ",Michael Almereyda,"Elina Löwensohn,Peter Fonda,Nic Ratner",," Drama, Horror","    This ultra-hip, post-modern vampire tale is set in contemporary New York City. Members of a dysfunctional family of vampires are trying to come to terms with each other, in the wake of their father's death. Meanwhile, they are being hunted by Dr. Van Helsing and his hapless nephew. As in all good vampire movies, forces of love are pitted against forces of destruction."
30,The Net (1995) ,"https://m.media-amazon.com/images/M/MV5BYWU1YjQ3NTUtZjZkZi00ZDc5LTgyZTgtNzkxMTIzNzUwZGY0XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UX182_CR0,0,182,268_AL_.jpg",5.9,PG-13,1h 54min," La red
      ",Irwin Winkler,"Sandra Bullock,Jeremy Northam,Dennis Miller",John Brancato," Action, Crime, Drama, Mystery, Thriller","    Angela Bennett's a software engineer type who works from home and has few friends outside of cyberspace. Taking her first vacation in years, she becomes embroiled in a web of computer espionage."
31,Strange Days (1995) ,"https://m.media-amazon.com/images/M/MV5BODFkMTBmNjktMjM1Yy00MjY5LTliMGEtM2FhYjE2YjRmN2RkXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX182_CR0,0,182,268_AL_.jpg",7.2,R,2h 25min," Días extraños
      ",Kathryn Bigelow,"Ralph Fiennes,Angela Bassett,Juliette Lewis","James Cameron,James Cameron"," Action, Crime, Drama, Sci-Fi, Thriller","    In 1999, Los Angeles is racial war zone with the army and LSPD and SWAT officers fighting Afro-American people. The former cop Lenny Nero is a dealer of illegal recording in CDs that gives the memories and sensations of the recorder to the user. He buys the recordings from the supplier Tick; he misses his former mistress Faith, who was a hooker and now is a singer; his best friend is the private eye Max Peltier and the limousine driver Lornette 'Mace' Mason, who has unrequited love for him. Two days before the turn of the century, the black rapper Jeriko One is murdered. The hooker Iris seeks Lenny out but there is an incident and they do not talk to each other. However she drops a recording into Lenny's car while he unsuccessfully tries to meet Faith at a night-club. However her boyfriend Philo Gant does not let them talk. When Lenny learns that Iris was sadistically raped and killed, he gets involved in a sick scheme and discovers dirty hidden secrets."
32,"To Wong Foo Thanks for Everything, Julie Newmar (1995) ","https://m.media-amazon.com/images/M/MV5BYjZmOTU3MjYtY2NhNi00ZmMxLWE5ZDgtNGVlYjVmOWMxYzI4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",6.6,PG-13,1h 49min," To Wong Foo
      ",Beeban Kidron,"Wesley Snipes,Patrick Swayze,John Leguizamo",," Comedy, Drama","    After jointly winning a local drag queen pageant in New York City, Noxeema Jackson and Vida Boheme win the right and are given the round trip airfare to compete in the Drag Queen of America pageant in Hollywood, California. Noxeema sees herself as the next Dorothy Dandridge, who bucked the trend of most black American movie actresses of her time by never playing the slave house maid. Vida's style reflects her past of growing up in upper class suburban Pennsylvania. One of their fellow New York City contestants, Chi-Chi Rodriguez, is a straight-talking, but naive and inexperienced drag queen. Seeing that Chi-Chi needs some drag queen confidence (despite her bravada), Vida and a reluctant Noxeema decide to cash in their plane tickets and buy an older model Cadillac convertible and drive to Hollywood with Chi-Chi. Their drive takes them through much of the country where alternate lifestyles are less tolerated than they may be in New York City or Los Angeles. The three have an extended ..."
33,Billy Madison (1995) ,"https://m.media-amazon.com/images/M/MV5BMzcyMjZmNjctNGNhMS00ZmQxLWFkNzQtYTIxYjVkYmU1NmNmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",6.4,PG-13,1h 29min," 10 February 1995 (USA)
    ",Tamra Davis,"Adam Sandler,Darren McGavin,Bridgette Wilson-Sampras",Tim Herlihy, Comedy,"    Billy Madison is a 27 year-old man whose father Brian is the head of a major hotel chain. Even though he is groomed to replace his father who is about to retire, Billy is extremely immature and unmotivated in life. When Brian considers making Eric Gordon (whom Billy despises) his new replacement, Billy decides to prove to his father that he is capable of taking over. He must repeat grade school all over again (2 weeks for each grade) in order to take over the hotel empire. The further Billy progresses, the more Eric tries to derail Billy."
